file,rt60_s,edt_s,r2,c50_db,c80_db,snr_db,quality,method,mode,capped,spl_leq_db,spl_lmax_db,spl_l10_db,spl_l90_db
"Bathroom, centre, closed, phone, 1.m4a",1.2309518082929185,1.0918046990697434,0.9930161425688595,-2.027695597493548,1.7002471882107346,53.23159052040691,OK,REG,ML 2 · Musician,False,52.637752532958984,60.186683699012534,59.75150729027091,37.38045539381346
"Bathroom, centre, closed, phone, 2.m4a",1.2158833053347748,1.1745135790077827,0.990002128553039,-3.3839609155206016,0.3165275050052315,53.16393787270684,OK,REG,ML 2 · Musician,False,49.8631706237793,56.49311280092746,56.02688159264079,34.42071849466259
"Bathroom, centre, closed, phone, 3.m4a",3.8553375,1.1728458564438282,0.5523978839686963,-1.1420142748796955,1.8906425585715767,50.10237485910625,CHECK,REG,ML 2 · Musician,True,54.549522399902344,61.642683838204206,61.58271379349606,45.10635747660222
"Bathroom, centre, closed, phone, 4.m4a",5.316853125,1.1299873421026423,0.3825473281509965,-1.7865144663955077,1.5844537553950717,49.62981677130497,CHECK,REG,ML 2 · Musician,True,50.349430084228516,57.02701396959988,54.33906222218227,42.20811506068756
"Bathroom, centre, open, phone, 1.m4a",0.9867909696537865,0.8091732397419498,0.9713783023087422,-0.3093175660816504,3.869196960134193,54.95805057139098,OK,REG,ML 2 · Musician,False,52.935794830322266,59.676906198528215,59.01481396880069,41.72486416884873
"Bathroom, centre, open, phone, 2.m4a",0.8924939199723373,0.8672231185460708,0.9913485957140812,-1.196654468135119,2.354602040101899,53.724127899847154,OK,REG,ML 2 · Musician,False,51.76276397705078,58.89943299402116,58.874978336288066,39.01391601175962
"Bathroom, centre, open, phone, 3.m4a",4.113044791666667,0.7993118060453127,0.3832227007367178,0.19619263677175894,3.8451697356573873,51.06949402979848,CHECK,REG,ML 2 · Musician,True,52.42515182495117,59.305235866224784,59.29725585948889,43.40047311489518
"Bathroom, centre, open, phone, 4.m4a",0.9141027109433483,0.8348782591065993,0.9857240578701325,-1.06505923211281,2.8420408364204697,50.543205201229846,OK,REG,ML 2 · Musician,False,50.619754791259766,57.7803327385587,57.62989482310278,39.31863806332219
"Bathroom, corner, closed, phone, 1.m4a",4.827741666666666,1.1405317546124338,0.3410573642259314,-0.9178738674755639,1.4182856157059316,49.91441879300193,CHECK,REG,ML 2 · Musician,True,56.870731353759766,64.92787900638805,62.874195459747455,36.48212355532213
"Bathroom, corner, closed, phone, 2.m4a",5.5175406250000005,1.2973782497616981,0.3514772126998328,-1.9996323900106672,0.9238378147090882,52.318548298046565,CHECK,REG,ML 2 · Musician,True,61.44757080078125,70.40771074791566,66.93926796681785,40.85597437401821
"Bathroom, corner, closed, phone, 3.m4a",5.276319791666666,1.0957729296412315,0.3701561314804564,-1.3464414287953166,2.082483733409394,48.63370828081925,CHECK,REG,ML 2 · Musician,True,55.858253479003906,63.82454144906425,61.65951195833873,43.11535504535195
